answer_id,url,domain,is_owned_domain
1,https://talkspace.com/example,talkspace.com,True
1,https://verywellmind.com/example,verywellmind.com,False
2,https://samhsa.gov/example,samhsa.gov,False
2,https://headspace.com/example,headspace.com,True
2,https://apa.org/example,apa.org,False
2,https://betterhelp.com/example,betterhelp.com,True
3,https://samhsa.gov/example,samhsa.gov,False
3,https://betterhelp.com/example,betterhelp.com,True
3,https://nimh.nih.gov/example,nimh.nih.gov,False
3,https://headspace.com/example,headspace.com,True
4,https://healthline.com/example,healthline.com,False
4,https://talkspace.com/example,talkspace.com,True
5,https://samhsa.gov/example,samhsa.gov,False
5,https://betterhelp.com/example,betterhelp.com,True
5,https://nimh.nih.gov/example,nimh.nih.gov,False
6,https://nimh.nih.gov/example,nimh.nih.gov,False
6,https://apa.org/example,apa.org,False
6,https://betterhelp.com/example,betterhelp.com,True
7,https://samhsa.gov/example,samhsa.gov,False
7,https://apa.org/example,apa.org,False
7,https://talkspace.com/example,talkspace.com,True
7,https://nimh.nih.gov/example,nimh.nih.gov,False
8,https://cerebral.com/example,cerebral.com,True
8,https://talkspace.com/example,talkspace.com,True
8,https://apa.org/example,apa.org,False
9,https://verywellmind.com/example,verywellmind.com,False
9,https://nimh.nih.gov/example,nimh.nih.gov,False
9,https://samhsa.gov/example,samhsa.gov,False
10,https://talkspace.com/example,talkspace.com,True
10,https://nimh.nih.gov/example,nimh.nih.gov,False
10,https://verywellmind.com/example,verywellmind.com,False
10,https://cerebral.com/example,cerebral.com,True
11,https://cerebral.com/example,cerebral.com,True
11,https://nimh.nih.gov/example,nimh.nih.gov,False
11,https://samhsa.gov/example,samhsa.gov,False
12,https://nimh.nih.gov/example,nimh.nih.gov,False
12,https://cerebral.com/example,cerebral.com,True
12,https://verywellmind.com/example,verywellmind.com,False
13,https://headspace.com/example,headspace.com,True
13,https://talkspace.com/example,talkspace.com,True
13,https://nimh.nih.gov/example,nimh.nih.gov,False
14,https://samhsa.gov/example,samhsa.gov,False
14,https://healthline.com/example,healthline.com,False
14,https://headspace.com/example,headspace.com,True
15,https://headspace.com/example,headspace.com,True
15,https://betterhelp.com/example,betterhelp.com,True
15,https://apa.org/example,apa.org,False
16,https://headspace.com/example,headspace.com,True
16,https://verywellmind.com/example,verywellmind.com,False
16,https://apa.org/example,apa.org,False
17,https://headspace.com/example,headspace.com,True
17,https://samhsa.gov/example,samhsa.gov,False
18,https://cerebral.com/example,cerebral.com,True
18,https://headspace.com/example,headspace.com,True
19,https://cerebral.com/example,cerebral.com,True
19,https://nimh.nih.gov/example,nimh.nih.gov,False
20,https://talkspace.com/example,talkspace.com,True
20,https://betterhelp.com/example,betterhelp.com,True
20,https://samhsa.gov/example,samhsa.gov,False
20,https://headspace.com/example,headspace.com,True
21,https://cerebral.com/example,cerebral.com,True
21,https://talkspace.com/example,talkspace.com,True
22,https://apa.org/example,apa.org,False
22,https://cerebral.com/example,cerebral.com,True
22,https://verywellmind.com/example,verywellmind.com,False
23,https://samhsa.gov/example,samhsa.gov,False
23,https://betterhelp.com/example,betterhelp.com,True
24,https://betterhelp.com/example,betterhelp.com,True
24,https://samhsa.gov/example,samhsa.gov,False
24,https://nimh.nih.gov/example,nimh.nih.gov,False
25,https://talkspace.com/example,talkspace.com,True
25,https://cerebral.com/example,cerebral.com,True
26,https://nimh.nih.gov/example,nimh.nih.gov,False
26,https://apa.org/example,apa.org,False
26,https://healthline.com/example,healthline.com,False
26,https://cerebral.com/example,cerebral.com,True
27,https://samhsa.gov/example,samhsa.gov,False
27,https://verywellmind.com/example,verywellmind.com,False
27,https://apa.org/example,apa.org,False
28,https://cerebral.com/example,cerebral.com,True
28,https://headspace.com/example,headspace.com,True
28,https://samhsa.gov/example,samhsa.gov,False
29,https://verywellmind.com/example,verywellmind.com,False
29,https://apa.org/example,apa.org,False
29,https://talkspace.com/example,talkspace.com,True
30,https://headspace.com/example,headspace.com,True
30,https://verywellmind.com/example,verywellmind.com,False
30,https://apa.org/example,apa.org,False
30,https://betterhelp.com/example,betterhelp.com,True
31,https://headspace.com/example,headspace.com,True
31,https://nimh.nih.gov/example,nimh.nih.gov,False
31,https://betterhelp.com/example,betterhelp.com,True
31,https://talkspace.com/example,talkspace.com,True
32,https://apa.org/example,apa.org,False
32,https://betterhelp.com/example,betterhelp.com,True
32,https://headspace.com/example,headspace.com,True
32,https://nimh.nih.gov/example,nimh.nih.gov,False
33,https://cerebral.com/example,cerebral.com,True
33,https://samhsa.gov/example,samhsa.gov,False
34,https://betterhelp.com/example,betterhelp.com,True
34,https://talkspace.com/example,talkspace.com,True
35,https://samhsa.gov/example,samhsa.gov,False
35,https://cerebral.com/example,cerebral.com,True
36,https://betterhelp.com/example,betterhelp.com,True
36,https://healthline.com/example,healthline.com,False
36,https://headspace.com/example,headspace.com,True
36,https://verywellmind.com/example,verywellmind.com,False
37,https://verywellmind.com/example,verywellmind.com,False
37,https://cerebral.com/example,cerebral.com,True
37,https://betterhelp.com/example,betterhelp.com,True
37,https://apa.org/example,apa.org,False
38,https://cerebral.com/example,cerebral.com,True
38,https://betterhelp.com/example,betterhelp.com,True
38,https://talkspace.com/example,talkspace.com,True
39,https://healthline.com/example,healthline.com,False
39,https://talkspace.com/example,talkspace.com,True
39,https://nimh.nih.gov/example,nimh.nih.gov,False
39,https://headspace.com/example,headspace.com,True
40,https://talkspace.com/example,talkspace.com,True
40,https://verywellmind.com/example,verywellmind.com,False
40,https://cerebral.com/example,cerebral.com,True
40,https://apa.org/example,apa.org,False
41,https://verywellmind.com/example,verywellmind.com,False
41,https://talkspace.com/example,talkspace.com,True
41,https://healthline.com/example,healthline.com,False
42,https://nimh.nih.gov/example,nimh.nih.gov,False
42,https://samhsa.gov/example,samhsa.gov,False
42,https://cerebral.com/example,cerebral.com,True
43,https://healthline.com/example,healthline.com,False
43,https://cerebral.com/example,cerebral.com,True
43,https://samhsa.gov/example,samhsa.gov,False
43,https://betterhelp.com/example,betterhelp.com,True
44,https://nimh.nih.gov/example,nimh.nih.gov,False
44,https://headspace.com/example,headspace.com,True
44,https://cerebral.com/example,cerebral.com,True
45,https://apa.org/example,apa.org,False
45,https://verywellmind.com/example,verywellmind.com,False
46,https://apa.org/example,apa.org,False
46,https://betterhelp.com/example,betterhelp.com,True
46,https://samhsa.gov/example,samhsa.gov,False
46,https://cerebral.com/example,cerebral.com,True
47,https://nimh.nih.gov/example,nimh.nih.gov,False
47,https://headspace.com/example,headspace.com,True
47,https://verywellmind.com/example,verywellmind.com,False
48,https://healthline.com/example,healthline.com,False
48,https://cerebral.com/example,cerebral.com,True
48,https://headspace.com/example,headspace.com,True
48,https://verywellmind.com/example,verywellmind.com,False
